"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2005"	"2005"	"Nov., 2005"	"2005/11"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	"Dec., 2009"	"2009/12"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2011"	"2011"	"Jan., 2011"	"2011/01"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Jun., 2013"	"2013/06"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Jul., 2013"	"2013/07"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Nov., 2013"	"2013/11"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Apr., 2014"	"2014/04"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Jul., 2014"	"2014/07"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Oct., 2014"	"2014/10"	16	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Dec., 2014"	"2014/12"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Jan., 2015"	"2015/01"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Jun., 2015"	"2015/06"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Oct., 2015"	"2015/10"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Nov., 2015"	"2015/11"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Dec., 2015"	"2015/12"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Jan., 2016"	"2016/01"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Feb., 2016"	"2016/02"	16	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Mar., 2016"	"2016/03"	20	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Apr., 2016"	"2016/04"	21	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"May, 2016"	"2016/05"	15	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Jun., 2016"	"2016/06"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Jul., 2016"	"2016/07"	16	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Aug., 2016"	"2016/08"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Sep., 2016"	"2016/09"	22	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Oct., 2016"	"2016/10"	15	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Nov., 2016"	"2016/11"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Dec., 2016"	"2016/12"	20	Not Applicable	Not Applicable
	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"1999"	"1999"	"Mar., 1999"	"1999/03"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"1999"	"1999"	"Dec., 1999"	"1999/12"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2000"	"2000"	"Dec., 2000"	"2000/12"	12	Not Applicable	Not Applicable
