"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Mar., 2014"	"2014/03"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Aug., 2014"	"2014/08"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Mar., 2015"	"2015/03"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Apr., 2015"	"2015/04"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Jun., 2016"	"2016/06"	16	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Dec., 2016"	"2016/12"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Apr., 2009"	"2009/04"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2011"	"2011"	"May, 2011"	"2011/05"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2013"	"2013"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"May, 2014"	"2014/05"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Jul., 2014"	"2014/07"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Nov., 2014"	"2014/11"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2014"	"2014"	"Dec., 2014"	"2014/12"	16	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Mar., 2015"	"2015/03"	15	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Apr., 2015"	"2015/04"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"May, 2015"	"2015/05"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Jul., 2015"	"2015/07"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Aug., 2015"	"2015/08"	24	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	"Dec., 2015"	"2015/12"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2016"	"2016"	"Jan., 2016"	"2016/01"	16	Not Applicable	Not Applicable
