"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","1999","438","4430143","9.89","9.83696456837443"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2000","444","4451687","9.97","9.97141547325131"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2001","425","4464034","9.52","9.52353459322258"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2002","416","4472420","9.3","9.28834994630138"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2003","434","4490591","9.66","9.66688609008976"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2004","369","4512190","8.18","8.2773497019483"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2005","433","4545049","9.53","9.67373793149708"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2006","445","4597688","9.68","9.75073303369814"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2007","480","4637904","10.35","10.4653702899749"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2008","454","4677464","9.71","9.85884980979056"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2009","412","4708708","8.75","8.92742391233562"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2010","391","4779745","8.18","8.257904338973"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2011","392","4799918","8.17","8.27357771235652"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2012","405","4815960","8.41","8.61452431704023"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2013","417","4829479","8.63","8.89483700466822"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2014","374","4846411","7.72","8.0383381069365"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2015","473","4858979","9.73","10.168999034374"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","2016","544","4863300","11.19","11.7582881692103"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2016","Homicide Injury","","7746","83781670","9.25","."
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","1999","51","624781","8.16","8.22208806708655"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2000","37","627428","5.9","5.69876457562812"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2001","38","633316","6","5.66302040818743"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2002","40","642691","6.22","5.85624235035254"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2003","47","650884","7.22","6.76933965245612"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2004","41","661569","6.2","5.96522386619448"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2005","37","669488","5.53","5.08001042466677"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2006","43","677325","6.35","6.10692917617059"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2007","50","682297","7.33","7.30983709056499"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2008","29","688125","4.21","4.43090610086225"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2009","26","698473","3.72","3.83011305408521"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2010","44","710231","6.2","6.06490799495374"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2011","36","722713","4.98","4.80571376207987"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2012","38","731089","5.2","4.85707866252639"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2013","43","736879","5.84","5.4287528497649"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2014","37","737046","5.02","4.66933526728107"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2015","62","738432","8.4","7.88547946402515"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","2016","54","741894","7.28","7.45303564383637"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2016","Homicide Injury","","753","12374661","6.09","."
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","1999","470","5023824","9.36","9.13793029900581"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2000","410","5166810","7.94","7.87280722731084"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2001","494","5304417","9.31","9.17805029301878"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2002","504","5452108","9.24","9.12246830394281"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2003","498","5591206","8.91","8.62687017784066"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2004","509","5759425","8.84","8.71585209422237"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2005","532","5974834","8.9","8.78271924783844"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2006","549","6192100","8.87","8.88307209195059"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2007","528","6362241","8.3","8.20341881885206"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2008","474","6499377","7.29","7.35354419847006"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2009","387","6595778","5.87","5.93361897652726"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2010","418","6392015","6.54","6.73359638993689"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2011","402","6467163","6.22","6.32828155616798"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2012","394","6549634","6.02","6.17090255900938"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2013","389","6624617","5.87","5.92474624510386"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2014","322","6728783","4.79","4.95192414442607"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2015","364","6828065","5.33","5.52182133966775"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2016","Homicide Injury","2016","420","6931071","6.06","6.27434989271852"
