"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	"2014"	"2014"	"Sep., 2014"	"2014/09"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	"2015"	"2015"	"Jan., 2015"	"2015/01"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	"2015"	"2015"	"Nov., 2015"	"2015/11"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	"2016"	"2016"	"Jan., 2016"	"2016/01"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Fayette County, KY"	"21067"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2012"	"2012"	"Dec., 2012"	"2012/12"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2015"	"2015"	"Apr., 2015"	"2015/04"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2015"	"2015"	"Sep., 2015"	"2015/09"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Mar., 2016"	"2016/03"	"White"	"2106-3"	19	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Apr., 2016"	"2016/04"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"May, 2016"	"2016/05"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Aug., 2016"	"2016/08"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"White"	"2106-3"	21	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"2015"	"2015"	"May, 2015"	"2015/05"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"2015"	"2015"	"Dec., 2015"	"2015/12"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"2016"	"2016"	"Sep., 2016"	"2016/09"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"2016"	"2016"	"Oct., 2016"	"2016/10"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Louisiana"	"22"	"St. Tammany Parish, LA"	"22103"	"2013"	"2013"	"Jan., 2013"	"2013/01"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	"Dec., 2009"	"2009/12"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Jul., 2013"	"2013/07"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Apr., 2014"	"2014/04"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Jul., 2014"	"2014/07"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Oct., 2014"	"2014/10"	"White"	"2106-3"	15	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Dec., 2014"	"2014/12"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Oct., 2015"	"2015/10"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Nov., 2015"	"2015/11"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	"Dec., 2015"	"2015/12"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Mar., 2016"	"2016/03"	"White"	"2106-3"	15	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Apr., 2016"	"2016/04"	"White"	"2106-3"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"May, 2016"	"2016/05"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"White"	"2106-3"	12	Not Applicable	Not Applicable
