"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2009"	"2009"	"Jul., 2009"	"2009/07"	"White"	"2106-3"	14	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2009"	"2009"	"Aug., 2009"	"2009/08"	"White"	"2106-3"	14	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2009"	"2009"	"Nov., 2009"	"2009/11"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2010"	"2010"	"Aug., 2010"	"2010/08"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2011"	"2011"	"May, 2011"	"2011/05"	"White"	"2106-3"	15	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2011"	"2011"	"Jun., 2011"	"2011/06"	"White"	"2106-3"	16	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2011"	"2011"	"Jul., 2011"	"2011/07"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2011"	"2011"	"Aug., 2011"	"2011/08"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2012"	"2012"	"Nov., 2012"	"2012/11"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2013"	"2013"	"Feb., 2013"	"2013/02"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2013"	"2013"	"Mar., 2013"	"2013/03"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2014"	"2014"	"May, 2014"	"2014/05"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2014"	"2014"	"Nov., 2014"	"2014/11"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Feb., 2009"	"2009/02"	"White"	"2106-3"	17	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Mar., 2009"	"2009/03"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Apr., 2009"	"2009/04"	"White"	"2106-3"	20	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Aug., 2009"	"2009/08"	"White"	"2106-3"	16	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Sep., 2009"	"2009/09"	"White"	"2106-3"	17	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Oct., 2009"	"2009/10"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Nov., 2009"	"2009/11"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	"Dec., 2009"	"2009/12"	"White"	"2106-3"	17	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Jan., 2010"	"2010/01"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Feb., 2010"	"2010/02"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Mar., 2010"	"2010/03"	"White"	"2106-3"	19	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Apr., 2010"	"2010/04"	"White"	"2106-3"	16	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"May, 2010"	"2010/05"	"White"	"2106-3"	17	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Jun., 2010"	"2010/06"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Aug., 2010"	"2010/08"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Sep., 2010"	"2010/09"	"White"	"2106-3"	14	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Oct., 2010"	"2010/10"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	"Dec., 2010"	"2010/12"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2011"	"2011"	"Jan., 2011"	"2011/01"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2011"	"2011"	"Feb., 2011"	"2011/02"	"White"	"2106-3"	13	Not Applicable	Not Applicable
