"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"External causes of morbidity and mortality"	"V01-Y89"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"External causes of morbidity and mortality"	"V01-Y89"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"External causes of morbidity and mortality"	"V01-Y89"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"External causes of morbidity and mortality"	"V01-Y89"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"May, 1999"	"1999/05"	"External causes of morbidity and mortality"	"V01-Y89"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"External causes of morbidity and mortality"	"V01-Y89"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"External causes of morbidity and mortality"	"V01-Y89"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"External causes of morbidity and mortality"	"V01-Y89"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"External causes of morbidity and mortality"	"V01-Y89"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"External causes of morbidity and mortality"	"V01-Y89"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"External causes of morbidity and mortality"	"V01-Y89"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"External causes of morbidity and mortality"	"V01-Y89"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"External causes of morbidity and mortality"	"V01-Y89"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"May, 2000"	"2000/05"	"External causes of morbidity and mortality"	"V01-Y89"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"External causes of morbidity and mortality"	"V01-Y89"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"External causes of morbidity and mortality"	"V01-Y89"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"External causes of morbidity and mortality"	"V01-Y89"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"External causes of morbidity and mortality"	"V01-Y89"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Oct., 2000"	"2000/10"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Nov., 2000"	"2000/11"	"External causes of morbidity and mortality"	"V01-Y89"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Dec., 2000"	"2000/12"	"External causes of morbidity and mortality"	"V01-Y89"	18	Not Applicable	Not Applicable
