"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	169	4430141	3.8	3.9
	"Alabama"	"01"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	197	4447100	4.4	4.5
	"Alabama"	"01"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	215	4467634	4.8	4.9
	"Alabama"	"01"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	211	4480089	4.7	4.8
	"Alabama"	"01"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	197	4503491	4.4	4.4
	"Alabama"	"01"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	283	4530729	6.2	6.4
	"Alabama"	"01"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	283	4569805	6.2	6.3
	"Alabama"	"01"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	398	4628981	8.6	8.7
	"Alabama"	"01"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	511	4672840	10.9	11.1
	"Alabama"	"01"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	607	4718206	12.9	13.0
	"Alabama"	"01"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	627	4757938	13.2	13.6
	"Alabama"	"01"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	544	4779736	11.4	11.7
	"Alabama"	"01"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	548	4802740	11.4	11.7
	"Alabama"	"01"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	562	4822023	11.7	12.1
	"Alabama"	"01"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	598	4833722	12.4	12.7
	"Alabama"	"01"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	722	4849377	14.9	15.1
	"Alabama"	"01"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	736	4858979	15.1	15.7
	"Alabama"	"01"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	754	4863300	15.5	16.2
	"Alaska"	"02"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	46	624779	7.4	7.5
	"Alaska"	"02"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	48	626932	7.7	7.1
	"Alaska"	"02"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	62	633714	9.8	9.4
	"Alaska"	"02"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	84	642337	13.1	12.2
	"Alaska"	"02"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	83	648414	12.8	12.7
	"Alaska"	"02"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	86	659286	13.0	12.7
	"Alaska"	"02"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	78	666946	11.7	11.2
	"Alaska"	"02"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	75	675302	11.1	10.9
	"Alaska"	"02"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	71	680300	10.4	10.0
	"Alaska"	"02"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	127	687455	18.5	18.1
	"Alaska"	"02"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	131	698895	18.7	17.9
	"Alaska"	"02"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	83	710231	11.7	11.6
	"Alaska"	"02"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	107	722718	14.8	14.2
	"Alaska"	"02"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	129	731449	17.6	17.4
	"Alaska"	"02"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	105	735132	14.3	14.4
	"Alaska"	"02"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	124	736732	16.8	16.8
	"Alaska"	"02"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	121	738432	16.4	15.8
	"Alaska"	"02"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	128	741894	17.3	16.8
	"Arizona"	"04"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	510	5023823	10.2	10.5
	"Arizona"	"04"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	522	5130632	10.2	10.6
	"Arizona"	"04"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	549	5273477	10.4	10.8
	"Arizona"	"04"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	622	5396255	11.5	11.9
	"Arizona"	"04"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	673	5510364	12.2	12.7
	"Arizona"	"04"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	743	5652404	13.1	13.7
	"Arizona"	"04"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	789	5839077	13.5	14.0
	"Arizona"	"04"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	873	6029141	14.5	14.9
	"Arizona"	"04"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	942	6167681	15.3	15.7
	"Arizona"	"04"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	828	6280362	13.2	13.5
	"Arizona"	"04"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	1000	6343154	15.8	16.1
	"Arizona"	"04"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	1097	6392017	17.2	17.5
	"Arizona"	"04"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	1071	6482505	16.5	16.9
	"Arizona"	"04"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	1133	6553255	17.3	17.6
	"Arizona"	"04"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	1222	6626624	18.4	18.7
	"Arizona"	"04"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	1210	6731484	18.0	18.2
	"Arizona"	"04"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	1273	6828065	18.6	19.0
	"Arizona"	"04"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	1381	6931071	19.9	20.3
	"Arkansas"	"05"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	112	2651860	4.2	4.4
	"Arkansas"	"05"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	140	2673400	5.2	5.4
