"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Virginia"	"51"	"Fairfax County, VA"	"51059"	"2015"	"2015"	"Oct., 2015"	"2015/10"	"External causes of morbidity and mortality"	"V01-Y89"	13	Not Applicable	Not Applicable
	"Virginia"	"51"	"Henrico County, VA"	"51087"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Virginia"	"51"	"Virginia Beach city, VA"	"51810"	"2015"	"2015"	"Aug., 2015"	"2015/08"	"External causes of morbidity and mortality"	"V01-Y89"	10	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"External causes of morbidity and mortality"	"V01-Y89"	10	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"External causes of morbidity and mortality"	"V01-Y89"	17	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"External causes of morbidity and mortality"	"V01-Y89"	12	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"External causes of morbidity and mortality"	"V01-Y89"	10	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"External causes of morbidity and mortality"	"V01-Y89"	12	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"External causes of morbidity and mortality"	"V01-Y89"	12	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2000"	"2000"	"Nov., 2000"	"2000/11"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2000"	"2000"	"Dec., 2000"	"2000/12"	"External causes of morbidity and mortality"	"V01-Y89"	12	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2001"	"2001"	"Mar., 2001"	"2001/03"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2002"	"2002"	"Feb., 2002"	"2002/02"	"External causes of morbidity and mortality"	"V01-Y89"	14	Not Applicable	Not Applicable
	"Washington"	"53"	"King County, WA"	"53033"	"2002"	"2002"	"Mar., 2002"	"2002/03"	"External causes of morbidity and mortality"	"V01-Y89"	11	Not Applicable	Not Applicable
